No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
547,MIRA,Mitra International Resources Tbk.,0,9,9,9,0,32700,294300,12,4.0,9,1761000,8,290700,3961452039,3961452039,2156218345,0,0,0,0,0
548,MITI,Mitra Investindo Tbk.,0,258,246,258,0,4905500,1234266000,763,17.6,258,327300,256,500,3540735503,3540735503,522258487,1086500,779900,0,0,0
549,MKNT,Mitra Komunikasi Nusantara Tbk.,0,2,2,2,0,16874400,33748800,65,5.0,3,95980100,2,23708900,5500000000,5500000000,2426600000,0,0,0,0,0
550,MKPI,Metropolitan Kentjana Tbk.,0,28750,27900,28675,-75,186500,5347940000,165,1365.5,28600,100,27800,300,948194000,948194000,92828193,92100,83000,0,0,0
551,MKTR,Menthobi Karyatama Raya Tbk.,0,129,122,125,-4,2912800,364317800,256,104.2,125,64800,124,47300,12000118921,12000118921,2785227272,0,145500,0,0,0
552,MLBI,Multi Bintang Indonesia Tbk.,0,8125,8000,8000,-125,69700,561465000,83,50955.4,8000,38900,7975,4600,2107000000,2107000000,199322200,67700,0,0,0,0
553,MLIA,Mulia Industrindo Tbk,0,416,406,406,-6,2828700,1163089000,253,338.4,408,91100,406,221400,6615000000,6615000000,2106877500,1226800,419000,0,0,0
554,MLPL,Multipolar Tbk.,0,74,71,71,-2,4638200,333678200,305,8.1,72,145100,71,5735900,15682323987,15682323987,6439162229,755900,161600,0,0,0
555,MLPT,Multipolar Technology Tbk.,0,1600,1600,1600,0,3700,5920000,7,333.3,1600,1700,1580,200,1875000000,1875000000,139312500,0,0,0,0,0
556,MMIX,Multi Medika Internasional Tbk.,0,174,165,172,-3,571200,97408100,149,90.5,172,134300,168,2000,2400087514,2389560114,600021272,37400,0,0,0,0
557,MMLP,Mega Manunggal Property Tbk.,0,344,334,340,-2,214300,72107200,33,58.1,342,10700,340,265800,6889134608,6889134608,2067429296,0,25400,0,0,0
558,MNCN,Media Nusantara Citra Tbk.,0,432,412,416,-16,83092800,34827556600,4791,46.2,416,499600,414,351000,15049787710,15049787710,8275878262,44230000,19699800,0,0,0
559,MOLI,Madusari Murni Indah Tbk.,0,374,320,320,-42,4871600,1645665600,1700,64.2,320,44300,318,48700,2724036581,2724036581,365838113,0,53800,0,0,0
560,MORA,Mora Telematika Indonesia Tbk.,0,470,454,458,-4,81600,37632600,31,115.7,458,16400,456,307800,23646668691,23646668691,2525464216,3200,0,0,0,0
561,MPMX,Mitra Pinasthika Mustika Tbk.,0,1005,995,995,0,3950900,3948421500,656,66.3,1000,293900,995,700000,4462963276,4462963276,1470100103,79000,101200,0,0,0
562,MPOW,Megapower Makmur Tbk.,0,64,62,63,-1,738700,46347700,113,31.5,63,333600,62,116600,816997053,816997053,217402916,0,0,0,0,0
563,MPPA,Matahari Putra Prima Tbk.,0,64,61,61,-1,10533400,654545900,330,25.6,62,600000,61,4667200,12966640084,12966640084,4740603615,1084100,52000,0,0,0
564,MPRO,Maha Properti Indonesia Tbk.,0,2800,2450,2530,-70,44400,114017000,116,2300.0,2570,100,2490,1100,9942500000,9942500000,536895000,3600,4700,0,0,0
565,MPXL,MPX Logistics International Tbk.,0,186,168,182,12,62992900,11293493300,5144,168.5,182,127400,181,165000,2000000000,397222200,400000000,3841500,9554200,0,0,0
566,MRAT,Mustika Ratu Tbk.,0,520,492,505,-15,107000,54174800,71,77.7,520,2000,505,99500,428000000,428000000,96086000,8100,15700,0,0,0
567,MREI,Maskapai Reasuransi Indonesia Tbk.,0,0,0,1920,0,0,0,0,174.2,1920,300,1865,100,517791681,517791681,303477704,0,0,0,0,0
568,MSIE,Multisarana Intan Eduka Tbk.,0,40,36,39,1,2997000,116651700,499,39.0,39,60800,38,727700,1460000000,360000000,0,0,0,0,0,0
569,MSIN,MNC Digital Entertainment Tbk.,0,3010,2980,3000,-10,52400,156747000,146,1200.0,3000,57700,2990,1200,12135235641,12135235641,2240164499,32400,52400,937400,3111939500,4
570,MSKY,MNC Sky Vision Tbk.,0,142,131,132,-3,1919100,260540400,202,8.7,134,600,132,31600,1994370480,1994370480,486626397,0,64000,0,0,0
571,MSTI,Mastersystem Infotama Tbk.,0,1430,1360,1370,0,14815900,20444544000,7283,101.1,1370,285700,1365,302400,3138823600,3138823600,470823600,120300,800,0,0,0
572,MTDL,Metrodata Electronics Tbk.,0,565,530,530,-30,4658300,2520492500,856,4764.5,535,2500,530,72900,12276884585,12276884585,4148359301,826700,1027100,100,55500,2
573,MTEL,Dayamitra Telekomunikasi Tbk.,0,665,645,660,0,47004300,30803342000,5863,82.5,660,1798800,655,587300,83527491944,83527491944,12888292007,27983500,15423600,0,0,0
574,MTFN,Capitalinc Investment Tbk.,0,0,0,50,0,0,0,0,1.3,0,0,0,0,31842082852,31842082852,17487671902,0,0,0,0,0
575,MTLA,Metropolitan Land Tbk.,0,388,380,380,-4,83600,31865200,33,159.8,380,40000,378,37100,7655126330,7655126330,3389689939,0,700,0,0,0
576,MTMH,Murni Sadar Tbk.,0,1410,1390,1400,-10,9554500,13336314000,1075,109.4,1400,256100,1395,100500,2068526950,2068526950,269322209,246500,92600,0,0,0
577,MTPS,Meta Epsi Tbk.,0,0,0,50,0,0,0,0,15.6,50,3202700,0,0,2084850829,2084850829,627123129,0,0,0,0,0
578,MTRA,Mitra Pemuda Tbk.,0,0,0,244,0,0,0,0,131.9,0,0,0,0,770000000,770000000,170016000,0,0,0,0,0
579,MTSM,Metro Realty Tbk.,0,284,260,282,4,31400,8321400,42,72.3,284,9700,280,500,232848000,232848000,14599570,0,0,0,0,0
580,MTWI,Malacca Trust Wuwungan Insurance Tbk.,0,81,80,81,0,888900,71239700,69,83.4,81,87400,80,470200,2924486639,2924486639,118441709,0,0,0,0,0
581,MUTU,Mutuagung Lestari Tbk.,0,115,110,111,-3,18123700,2022460000,1211,102.8,112,228800,111,836100,3142857200,942857200,942857160,3912800,371400,0,0,0
582,MYOH,Samindo Resources Tbk.,0,1685,1675,1675,-15,40000,67200000,6,199.5,1675,400,1620,200,2206312500,2206312500,689472656,20000,0,0,0,0
583,MYOR,Mayora Indah Tbk.,0,2680,2620,2620,-50,1802100,4765921000,843,13106.6,2640,11100,2620,51900,22358699725,22358699725,3463362587,1086600,284100,572600,1536285800,1
584,MYRX,Hanson International Tbk.,0,0,0,50,0,0,0,0,34.1,0,0,0,0,86703220792,86703220792,56955345738,0,0,0,0,0
585,MYRXP,Saham Seri B Hanson International Tbk.,0,0,0,50,0,0,0,0,40.0,0,0,0,0,1120995000,1120995000,650961797,0,0,0,0,0
586,MYTX,Asia Pacific Investama Tbk.,0,66,61,61,-2,300,18800,3,9.2,64,100,61,2200,7747281949,7747281949,437721430,0,0,0,0,0
587,NANO,Nanotech Indonesia Global Tbk.,0,19,17,17,-1,2286400,40276600,136,17.0,19,5763800,17,2893200,4285205339,4285205339,0,0,0,0,0,0
588,NASA,Andalan Perkasa Abadi Tbk.,0,21,20,21,1,21200,434100,11,20.4,21,19700,20,3400,11004929322,11004929322,6304724009,0,0,0,0,0
589,NASI,Wahana Inti Makmur Tbk.,0,83,78,79,1,5491000,441666000,1091,51.0,79,128300,78,738400,807400000,807400000,238990400,0,0,0,0,0
590,NATO,Surya Permata Andalan Tbk.,0,119,94,102,-8,11257500,1179857800,3294,99.0,103,8800,102,124000,8001111504,8001111504,4423814551,3428800,390800,1852100,203731000,1
591,NAYZ,Hassana Boga Sejahtera Tbk.,0,26,23,26,2,17841600,429555300,1040,26.0,26,1566300,25,328200,2550005864,2550005864,0,0,0,0,0,0
592,NCKL,Trimegah Bangun Persada Tbk.,0,1005,970,995,20,23028600,22823471500,2313,79.6,995,2331400,990,266400,63098600000,7997600000,7994592620,3677500,9373500,0,0,0
593,NELY,Pelayaran Nelly Dwi Putri Tbk.,0,535,525,530,0,1402200,742813500,217,315.5,530,28700,525,319400,2350000000,2350000000,224190000,200,211000,0,0,0
594,NETV,Net Visi Media Tbk.,0,67,63,64,-1,259600,16511300,79,32.7,65,107100,63,101800,23453177240,23453177240,2851906352,0,0,0,0,0
